guide,ref,title,purpose,outcome,steps,form_data,notes
"Organisation Admin","4.2","Viewing the Org Chart","See reporting lines visually.","Expanded/collapsed hierarchy.","Org Chart (or Directory > Org Chart) | Click nodes to expand/collapse | Use zoom controls","N/A","Source: 01-organisation-admin-guide.md"
"Organisation Admin","5.1","Company Calendar","See leave, holidays, and milestones org-wide.","Calendar with entry details on demand.","Calendar | Month/week toggle | Filter by department, team, or individual | Click entry for details","Filter selections","Source: 01-organisation-admin-guide.md"
"Organisation Admin","6.1","Viewing Tasks","Monitor work across the organisation.","Filtered task list.","Tasks | Filter by status (Open, In Progress, Completed), priority, category, assignee","Filter selections","Source: 01-organisation-admin-guide.md"
"Organisation Admin","6.2","Creating a New Task","Assign tracked work with ownership and deadline.","New task in list; optional onboarding user link.","Tasks | Create Task | Fill form | Optionally link onboarding user | Save","Title; Category: Onboarding, Compliance, Training, or Administrative; Priority: Low, Medium, High, Urgent; Due date; Assignees (one or more); optional onboarding user link","Source: 01-organisation-admin-guide.md"
"Organisation Admin","6.3","Updating Task Status","Reflect progress and communicate.","Updated status and comments.","Open task | Status dropdown: Open, In Progress, Completed | Add comments","Status; comment text","Source: 01-organisation-admin-guide.md"
"Organisation Admin","7.1","Viewing Leave Requests","See who is off and per-person history.","Calendar overview and/or user Leave tab.","Calendar and/or Users | user | Leave tab","N/A","Source: 01-organisation-admin-guide.md"
"Organisation Admin","7.2","Approving or Rejecting Leave","Apply policy to time off.","Request approved or rejected; employee notified.","Open Pending request | Review dates, type, duration | Approve OR Reject | If Reject: provide reason","Rejection reason when rejecting","Source: 01-organisation-admin-guide.md"
"Organisation Admin","7.3","Configuring Leave Policies","Define accrual, carryover, approval.","Policies and workflows updated.","Settings > Time & Leave | Manage Holidays, Leave policies, Approval workflows | Per policy: accrual type/frequency/days, carryover, caps, Bradford Factor (sick)","Policy-specific fields per screen","Source: 01-organisation-admin-guide.md"
"Organisation Admin","7.4","Managing Working Patterns","Align leave calculations with working weeks.","Patterns defined and assignable.","Settings > Time & Leave | Define patterns | Assign to employees","Pattern definition; employee assignment (per UI)","Source: 01-organisation-admin-guide.md"
"Organisation Admin","8.1","Performance Overview","See cycles, templates, 360 status.","Overview of active work.","Performance | Review Active review cycles, Review templates, 360 feedback requests","N/A","Source: 01-organisation-admin-guide.md"
"Organisation Admin","8.2","Managing Review Cycles","Drill into cycle progress.","Opened review instance.","Performance | Select cycle | View instances and completion % | Open a review","N/A unless editing inside review","Source: 01-organisation-admin-guide.md"
"Organisation Admin","8.3","Creating a New Review Cycle","Launch review period for applicable pairs.","New cycle with instances.","Performance | Create Cycle | Select template | Cycle name, start date, end date | Launch","Template; cycle name; start date; end date","Source: 01-organisation-admin-guide.md"
"Organisation Admin","8.4","Managing Review Templates","Shape review forms.","Template saved with question types.","Performance | Templates | Create/edit | Sections/questions: Text, Scale 1-5, Multiple choice, Two-axis graph","Template name; section/question content and types","Source: 01-organisation-admin-guide.md"
"Organisation Admin","8.5","360 Feedback","Monitor peer feedback collection.","Visibility of reviewers and completion.","Performance | 360 Feedback Requests | Inspect subject, reviewers, template","N/A for monitoring","Source: 01-organisation-admin-guide.md"
"Organisation Admin","9.1","Viewing Announcements","Review communications.","List including pinned items.","Announcements | View published, draft, scheduled","N/A","Source: 01-organisation-admin-guide.md"
"Organisation Admin","9.2","Creating an Announcement","Broadcast to audience.","Published or draft announcement.","Announcements | Create Announcement | Publish or save draft","Title; Body (rich text); Priority (normal or high); Audience (all or filtered by team/division/country); Pin toggle","Source: 01-organisation-admin-guide.md"
"Organisation Admin","9.3","Editing or Removing Announcements","Keep communications current.","Updated, unpublished, or deleted.","Open announcement | Edit | Unpublish or delete as needed","Same as create where applicable","Source: 01-organisation-admin-guide.md"
"Organisation Admin","10.1","Ticket Inbox Overview","Triage employee support.","Filtered ticket queue.","Tickets | Filter by status, category, assignee","Filters only","Source: 01-organisation-admin-guide.md"
"Organisation Admin","10.2","Responding to a Ticket","Progress or resolve employee issues.","Thread updated; assignment/priority/status/escalation may change.","Open ticket | Read thread | Type reply | Send | Optionally Assign, Change status, Change priority, Escalate to partner admin","Reply text; status/priority/assignee; escalation if applicable","Source: 01-organisation-admin-guide.md"
"Organisation Admin","10.3","Managing Ticket Categories","Control categories for raised tickets.","Updated category list.","Settings > Integrations & Data | Ticket Categories | Add, edit, remove","Category fields per UI","Source: 01-organisation-admin-guide.md"
"Organisation Admin","10.4","Creating Ticket (Admin Inbox) — UI verified","Create ticket from org admin tickets area.","New ticket created.","Tickets | Open New Ticket modal | Fill fields | Create Ticket","Subject (required); Category (optional None); Priority (Low, Medium, High, Urgent); Description (required). Buttons: Cancel; Create Ticket / Creating…","Verified apps/admin-web tickets page. Modal title New Ticket."
"Organisation Admin","11.1","Managing Articles","Curate knowledge base.","View published and draft by category.","Knowledge Centre | Browse by category","N/A","Source: 01-organisation-admin-guide.md"
"Organisation Admin","11.2","Creating a New Article","Publish self-service guidance.","Article saved Published or Draft.","Knowledge Centre | Create Article | Save","Title; Category; Content (rich text); Published or Draft","Source: 01-organisation-admin-guide.md"
"Organisation Admin","11.3","Editing and Organising Articles","Keep articles accurate.","Updated article.","Open article | Edit content, category, status | Save per UI","Per edit form","Source: 01-organisation-admin-guide.md"
"Organisation Admin","12.1","Reports Hub","Access reporting entry points.","Saved, favourites, ad-hoc areas visible.","Reports | Saved reports / Favourites / Ad-hoc reports","N/A","Source: 01-organisation-admin-guide.md"
"Organisation Admin","12.2","Available Report Types (reference)","Know built-in analytics routes.","User navigates to correct report.","Main Reports /reports | Headcount /headcount | Additions & Terminations /additions-terminations | Turnover /turnover | Bradford Factor /bradford-factor","N/A","Paths from 01-organisation-admin-guide.md"
"Organisation Admin","12.3","Running a Report","Produce dataset for period and cohort.","On-screen results; optional export.","Open report | Set date range and filters | Export where available","Date range; department, division, country, etc.; export format","Source: 01-organisation-admin-guide.md"
"Organisation Admin","12.4","Headcount Report","Analyse headcount trends.","Chart/table; export.","Reports | Headcount | Breakdowns | Export","Breakdown dimensions; export options","Source: 01-organisation-admin-guide.md"
"Organisation Admin","12.5","Bradford Factor","Monitor short-term sickness patterns.","Filtered Bradford table.","Bradford Factor | Filter by policy and period","Policy type; date period","Source: 01-organisation-admin-guide.md"
"Organisation Admin","13.1","Accessing Settings","Open configuration hub.","Settings category grid.","Settings","N/A","Source: 01-organisation-admin-guide.md"
"Organisation Admin","13.2","Settings Categories (reference)","Map configuration areas.","N/A informational.","Read guide table: Organisation; People & Access; Pay & Benefits; Time & Leave; Hiring & Lifecycle; Learning & Development; Health & Safety; Integrations & Data; Account & Billing","N/A","Source: 01-organisation-admin-guide.md"
"Organisation Admin","13.3","Configuring Departments","Maintain department list.","Departments added/renamed/deactivated.","Settings > Organisation > Departments | Add Department or open existing | Rename or deactivate","Department name; active flag if applicable","Source: 01-organisation-admin-guide.md"
"Organisation Admin","13.4","Managing Access Levels","Control capabilities per level.","Updated permission matrix.","Settings > People & Access > Access Levels | Configure Organisation Admin, Manager, UK Employee","Per-level permission toggles per UI","Source: 01-organisation-admin-guide.md"
"Organisation Admin","13.5","Configuring Onboarding Task Lists","Define default new-starter tasks.","Checklist items for new hires.","Settings > Hiring & Lifecycle > Onboarding | Add/reorder items","Per item: Title; Description; Lead time (days before/after start); Priority; Assignee role","Source: 01-organisation-admin-guide.md"
"Organisation Admin","13.6","Configuring Offboarding Task Lists","Standardise leaver activities.","Tasks when offboarding starts.","Settings > Hiring & Lifecycle > Offboarding | Define checklist items","Per item per UI","Source: 01-organisation-admin-guide.md"
"Organisation Admin","13.7","General Settings","Org-wide display and defaults.","Locale and self-service behaviour updated.","Settings > Account & Billing > General Settings | Save","Date format; Number format; Timezone; Default country; Display name format; Industry; Employee self-service options (photo upload, file upload, expanded gender options)","Source: 01-organisation-admin-guide.md"
"Organisation Admin","13.8","Roles (Organisational Roles)","Group people for routing and visibility.","Role memberships updated.","Settings > People & Access > Roles | Assign employees","Role selections; employee assignments","Source: 01-organisation-admin-guide.md"
"Organisation Admin","14.1","Activity Log","Audit trail for compliance.","Filtered audit trail.","Activity Log | Filter by date, user, action type","Filter criteria","Source: 01-organisation-admin-guide.md"
"Organisation Admin","14.2","Access History","Review access-level changes.","Historical log.","Access History (Audit & Logs area)","Filters if present","Source: 01-organisation-admin-guide.md"
"Organisation Admin","14.3","Import History","Verify bulk loads.","Past import results.","Import History (Audit & Logs area)","N/A","Source: 01-organisation-admin-guide.md"
"Manager","1.1","Logging In","Open manager (employee) shell.","Employee Dashboard at /me/dashboard.","http://localhost:3001/?org=platform-demo | Email | Password | Sign in","e.g. david.kowalski@platform-demo.com; Demo123!","Source: 02-manager-guide.md"
"Manager","1.2","Manager Navigation","Use allowed menu items.","Correct area opens.","Sidebar: Dashboard, My Profile, Directory, Org Chart, Calendar, Tasks, Performance, Raise a Ticket, Knowledge Centre, Partnerships, Settings","N/A","Source: 02-manager-guide.md"
"Manager","1.3","Key Difference from Employees","Set expectations for manager capabilities.","N/A informational.","Read guide note on team profiles, leave approval, performance, team calendar","N/A","Source: 02-manager-guide.md"
"Manager","2.1","Dashboard Overview","Personal and team snapshot.","Events, team activity, pending approvals, celebrations, quick actions.","Land on Dashboard /me/dashboard","N/A","Source: 02-manager-guide.md"
"Manager","2.2","Acting on Dashboard Items","Act on notifications.","Leave flow, profile, or task opens.","Click pending leave | team member name | task notification","N/A until destination","Source: 02-manager-guide.md"
"Manager","3.1","Viewing Team Members","Find direct reports.","Profile opened.","Directory | Find reports (guide examples: Emma Fletcher, Nathan Williams, Aisha Patel) | Click member","N/A","Source: 02-manager-guide.md"
"Manager","3.2","Viewing Team Member Profile","Read HR context for reports.","Personal, employment, leave, performance per permissions.","Directory or /me/team/[userId]","N/A","Source: 02-manager-guide.md"
"Manager","3.3","Org Chart","See hierarchy.","Expanded tree.","Org Chart | Find self | Expand nodes","N/A","Source: 02-manager-guide.md"
"Manager","4.1","Viewing Pending Leave","Find requests needing approval.","Request identified.","Dashboard and/or Calendar","N/A","Source: 02-manager-guide.md"
"Manager","4.2","Approving Leave","Grant time off.","Employee notified; approved.","Open pending request | Review name, leave type, dates, balance | Approve","N/A","Source: 02-manager-guide.md"
"Manager","4.3","Rejecting Leave","Decline with context.","Employee notified with reason.","Open request | Reject | Provide reason","Reason (required per guide)","Source: 02-manager-guide.md"
"Manager","4.4","Team Calendar","Avoid clashes.","Team leave and UK bank holidays visible.","Calendar","N/A","Source: 02-manager-guide.md"
"Manager","5.1","Accessing Performance Reviews","Open reviews and 360.","Lists visible.","Performance","N/A","Source: 02-manager-guide.md"
"Manager","5.2","Completing Review for Direct Report","Submit manager assessment.","Manager section submitted; sign if required after both submit.","Open team review | Answer Text, Scale 1-5, Multiple choice | Submit | Sign if required","All required answers; optional scale comments","Source: 02-manager-guide.md"
"Manager","5.3","Completed Review Report","Read final record.","Report view with both sides.","Open completed review | Report view","N/A","Source: 02-manager-guide.md"
"Manager","5.4","360 Feedback","Submit peer feedback.","Request complete.","Open 360 request | Answer | Submit","Template questions","Source: 02-manager-guide.md"
"Manager","6.1","Viewing Tasks","See owned and delegated work.","Filtered list.","Tasks | Filter status, priority, category","Filters","Source: 02-manager-guide.md"
"Manager","6.2","Updating a Task","Progress work.","Status and comments updated.","Open task | Status Open, In Progress, Completed | Comments","Status; comments","Source: 02-manager-guide.md"
"Manager","6.3","Creating a Task","Delegate work.","New task.","Create Task | Fill title, category, priority, due date, assignees | Save","Same categories as org admin task creation","Source: 02-manager-guide.md"
"Manager","7.1","Raising a Ticket","Get HR/admin help.","Ticket created.","Raise a Ticket (sidebar) | Click Raise a Ticket button (opens modal Raise a Ticket) | Fill | Create","Subject (required); Category (optional None); Priority Low/Medium/High/Urgent; Route to Team (optional Select a team…); Description (required). Buttons: Cancel; Create / Creating…","UI verified me/tickets/page.tsx. Guide says New Ticket/Submit — app uses Raise a Ticket and Create."
"Manager","7.2","Ticket Conversations","Continue thread.","Updated conversation.","Raise a Ticket | Open ticket | Read | Reply | Send","Reply text","Source: 02-manager-guide.md"
"Manager","7.3","Knowledge Centre","Self-service reading.","Article opened.","Knowledge Centre | Browse/search","Search query","Source: 02-manager-guide.md"
"Manager","7.4","My Profile","Review/update allowed fields.","Profile updated if editable.","My Profile | Edit allowed | Save","Editable fields only","Source: 02-manager-guide.md"
"Manager","7.5","Account Settings","Personal preferences.","Settings saved.","Settings (bottom of sidebar)","Profile fields; birthday visibility; notifications","Source: 02-manager-guide.md"
"Manager","7.6","Partnerships","View partner catalogue.","Informational browse.","Partnerships","N/A","Source: 02-manager-guide.md"
"Employee","1.1","Accepting Invitation","Activate account.","Password set; redirect to platform.","Email | Set Password link | Create password | Confirm","Password meeting minimum rules shown in UI","Source: 03-employee-guide.md"
"Employee","1.2","Logging In","Access self-service.","Employee Dashboard.","URL ?org=platform-demo | Email | Password | Sign in","e.g. ben.taylor@platform-demo.com; Demo123!","Source: 03-employee-guide.md"
"Employee","1.3","Reset Password","Regain access.","New password set.","Forgot password? | Email | Reset link | New password","Email; new password","Source: 03-employee-guide.md"
"Employee","2.1","Dashboard Overview","Home snapshot.","Events, actions, celebrations, announcements, links.","/me/dashboard","N/A","Source: 03-employee-guide.md"
"Employee","2.2","Acting on Dashboard","Deep-link to work.","Target screen opens.","Click task | announcement | celebration | upcoming leave","N/A","Source: 03-employee-guide.md"
"Employee","3.1","Viewing Profile","See HR record.","Read personal, contact, employment, emergency, leave, training.","My Profile","N/A","Source: 03-employee-guide.md"
"Employee","3.2","Updating Profile","Keep contact data current.","Saved changes.","My Profile | Edit section | Save","Editable fields; job/salary admin-only per guide","Source: 03-employee-guide.md"
"Employee","3.3","Photo Upload","Personalise directory.","Avatar updated.","My Profile | Avatar | Select file","Image file if enabled","Source: 03-employee-guide.md"
"Employee","4.1","Leave Balance","Know entitlement.","Balances visible.","My Profile | Leave section","N/A","Source: 03-employee-guide.md"
"Employee","4.2","Submitting Leave","Request time off.","Pending request to manager.","Dashboard or Calendar | Request Leave or Book Time Off | Leave type | Start/end dates | Optional note | Submit","Leave type; dates; note","Source: 03-employee-guide.md"
"Employee","4.3","Leave Request Status","Track approval.","Colour-coded calendar and profile history.","Calendar (green approved; yellow/orange pending; red rejected per guide) OR Profile Leave tab","N/A","Source: 03-employee-guide.md"
"Employee","4.4","Cancelling Leave","Withdraw request.","Manager/system notified.","Open request | Cancel Request if shown","N/A","Source: 03-employee-guide.md"
"Employee","5.1","Calendar Overview","Plan around team and holidays.","Month/week view.","Calendar | Month/week toggle","N/A","Source: 03-employee-guide.md"
"Employee","5.2","Navigating Calendar","Move in time / inspect days.","Detail view.","Arrows | Click date | Click leave entry","N/A","Source: 03-employee-guide.md"
"Employee","6.1","Directory","Find colleagues.","Basic profile.","Directory | Search | Click person","Search","Source: 03-employee-guide.md"
"Employee","6.2","Org Chart","See structure.","Expanded view.","Org Chart | Find self | Expand nodes","N/A","Source: 03-employee-guide.md"
"Employee","7.1","Tasks","See assignments.","Task list.","Tasks","N/A","Source: 03-employee-guide.md"
"Employee","7.2","Updating Task","Report progress.","Updated task.","Open task | Status | Comment","Status; comment","Source: 03-employee-guide.md"
"Employee","7.3","Task Categories (reference)","Understand task types.","N/A informational.","Read Onboarding, Compliance, Training, Administrative table in guide","N/A","Source: 03-employee-guide.md"
"Employee","8.1","Performance Access","Open reviews/360.","Lists shown.","Performance","N/A","Source: 03-employee-guide.md"
"Employee","8.2","Self-Assessment","Submit employee side of review.","Submitted; sign after manager if asked.","Open active review | Answer questions | Submit | Sign if required","Required answers","Source: 03-employee-guide.md"
"Employee","8.3","Completed Reviews","Read outcomes.","Report view.","Open completed review | Report","N/A","Source: 03-employee-guide.md"
"Employee","8.4","360 Feedback","Help peer review.","Submitted feedback.","Open request | Answer | Submit","Template answers","Source: 03-employee-guide.md"
"Employee","9.1","When to Raise a Ticket","Guidance on using helpdesk.","N/A informational.","Read guide scenarios (pay, IT, policies, etc.)","N/A","Source: 03-employee-guide.md"
"Employee","9.2","Creating Ticket","Request support.","Ticket created.","Raise a Ticket | Raise a Ticket button | Modal Raise a Ticket | Create","Same as Manager 7.1 (Subject, Category, Priority, Route to Team, Description; Create)","UI verified me/tickets/page.tsx"
"Employee","9.3","Tracking Tickets","Monitor status.","Thread view.","Raise a Ticket | List | Open ticket","N/A","Statuses in guide: Open, In Progress, Resolved, Closed"
"Employee","9.4","Replying to Ticket","Add information.","Thread updated.","Open ticket | Type reply | Send","Message body","Source: 03-employee-guide.md"
"Employee","10.1","Browsing Knowledge Centre","Find articles.","List/search results.","Knowledge Centre | Category/search","Search","Source: 03-employee-guide.md"
"Employee","10.2","Reading Article","Consume content.","Full article.","Click article title","N/A","Source: 03-employee-guide.md"
"Employee","11.1","Onboarding Tasks","Complete induction.","Checklist progress.","Onboarding if in sidebar OR Tasks","N/A","Source: 03-employee-guide.md"
"Employee","11.2","Completing Onboarding Items","Close starter tasks.","Items completed.","Open each task | Follow instructions | Mark Completed","Per task","Source: 03-employee-guide.md"
"Employee","12.1","Account Settings","Personal prefs.","Saved.","Settings","Profile details; birthday visibility; notifications","Source: 03-employee-guide.md"
"Employee","12.2","Changing Password","Rotate credentials.","New password.","Log out | Forgot password? | Email flow","Email; new password","Source: 03-employee-guide.md"
"Partner Admin","1.1","Logging In","Open partner admin console.","Redirect to Admin Console /admin-console.","http://localhost:3001 | Email | Password | Sign in","e.g. partner.admin@meridian-hr.com; Demo123!","Source: 04-partner-admin-guide.md"
"Partner Admin","1.2","Admin Console Navigation","Reach console areas.","Correct section.","Sidebar: Dashboard, Customer Tenants, Partnerships, Escalated Tickets","N/A","Source: 04-partner-admin-guide.md"
"Partner Admin","1.3","Switching to Organisation","Work inside tenant as admin.","Org admin dashboard for customer.","Tenant detail | Login to Organisation | Use features | Admin Console link to return","N/A","Requires Tenant Assignment per guide"
"Partner Admin","1.4","Console Switching","Move between consoles if multiple roles.","Context switch.","Footer/sidebar: Admin Console; Super Admin if allowed; Organisation Admin if linked","N/A","Source: 04-partner-admin-guide.md"
"Partner Admin","2.1","Dashboard Overview","Tenant portfolio metrics.","Stats and tenant table.","Dashboard","N/A","Source: 04-partner-admin-guide.md"
"Partner Admin","2.2","Creating New Tenant","Onboard customer org.","Tenant detail page for new org.","New Tenant | Fill | Create Tenant","Organisation name; Slug; Partner managed checkbox; Billing: email, contact name, address, city, state, postal code, country, VAT; Plan: Starter, Professional, Enterprise","Button Create Tenant on admin-console/tenants/new per codebase"
"Partner Admin","2.3","Viewing Tenant Details","Inspect tenant.","Header, billing, admins visible.","Click tenant row","N/A","Source: 04-partner-admin-guide.md"
"Partner Admin","2.4","Updating Billing","Keep billing master correct.","Saved billing.","Tenant detail | Billing Details | Edit | Save Billing","Billing fields in section","Button Save Billing verified tenants/[id]/page.tsx"
"Partner Admin","2.5","Adding Admin to Tenant","Invite org or partner admin.","User created/linked; invite sent.","Tenant detail | Admins | Add Admin | Create & Invite","Role: Organisation Admin or Partner Admin; First name; Last name; Email","Source: 04-partner-admin-guide.md"
"Partner Admin","2.6","Login to Customer Organisation","Full org admin in tenant.","Switched session.","Tenant detail | Login to Organisation","N/A","Requires assignment per guide"
"Partner Admin","3.1","Escalated Inbox","Work partner-level tickets.","Queue visible.","Escalated Tickets","N/A","Source: 04-partner-admin-guide.md"
"Partner Admin","3.2","Filtering Tickets","Find cases.","Filtered list.","Search bar | Status Open, In Progress, Resolved, Closed | Priority Low, Medium, High, Urgent","Search text; filters","Source: 04-partner-admin-guide.md"
"Partner Admin","3.3","Responding to Ticket","Reply or internal note.","Message posted.","Open ticket | Type reply | Public reply OR Internal note | Send","Message body; visibility mode","Source: 04-partner-admin-guide.md"
"Partner Admin","3.4","Status and Priority","Reflect handling.","Updated ticket.","Status dropdown | Priority dropdown","Status; priority","Source: 04-partner-admin-guide.md"
"Partner Admin","3.5","Escalate to Platform","Hand to platform support.","Escalated per guide.","Open ticket | Escalate to Platform","Confirm if UI prompts","Source: 04-partner-admin-guide.md"
"Partner Admin","3.6","De-escalating Ticket","Return to lower tier.","Ticket at partner or org level.","Return to Partner OR Return to Org Admin (per options shown)","N/A","Source: 04-partner-admin-guide.md"
